andersonword,andersoncount,andersonrank
safer,1,722
safety,1,722
sake,1,722
satisfaction,1,722
save,1,722
saved,1,722
saving,1,722
says,1,722
scale,1,722
scrutinize,1,722
second,1,722
secretary,1,722
see,1,722
seeking,1,722
seem,1,722
sees,1,722
select,1,722
selection,1,722
selfrespect,1,722
senseless,1,722
sent,1,722
sentencing,1,722
separate,1,722
seriously,1,722
sessions,1,722
set,1,722
seti,1,722
setting,1,722
settle,1,722
shape,1,722
shield,1,722
shirt,1,722
short,1,722
shortages,1,722
shortsighted,1,722
show,1,722
shown,1,722
sick,1,722
sickens,1,722
sign,1,722
signed,1,722
simon,1,722
simply,1,722
situation,1,722
situations,1,722
sixteen,1,722
sixty,1,722
smalltown,1,722
social,1,722
solely,1,722
soliciting,1,722
solution,1,722
something,1,722
soonand,1,722
sooner,1,722
south,1,722
specialists,1,722
specific,1,722
specifically,1,722
speech,1,722
spiritand,1,722
spite,1,722
sports,1,722
springs,1,722
squander,1,722
stages,1,722
standing,1,722
stands,1,722
start,1,722
started,1,722
starting,1,722
starved,1,722
stated,1,722
stations,1,722
status,1,722
stevenson,1,722
store,1,722
strengthen,1,722
strengths,1,722
strictly,1,722
stronger,1,722
structure,1,722
struggle,1,722
study,1,722
subject,1,722
subsidies,1,722
subsidized,1,722
substance,1,722
substanceon,1,722
substantial,1,722
succeed,1,722
success,1,722
successful,1,722
successfully,1,722
suffer,1,722
suffering,1,722
suggested,1,722
summarizing,1,722
summary,1,722
supervision,1,722
supervisory,1,722
supply,1,722
suppress,1,722
surprised,1,722
taints,1,722
taken,1,722
takes,1,722
talented,1,722
task,1,722
tate,1,722
taxpayers,1,722
techniques,1,722
ten,1,722
thank,1,722
thanks,1,722
theres,1,722
theyre,1,722
thing,1,722
think,1,722
though,1,722
thought,1,722
thousand,1,722
threatened,1,722
threatening,1,722
threshold,1,722
thrust,1,722
thus,1,722
tied,1,722
timidity,1,722
timing,1,722
toa,1,722
todays,1,722
tolerate,1,722
tom,1,722
tomorrow,1,722
took,1,722
